seller_id,seller_state,product_category_name_english,total_revenue,total_orders,avg_review_score,avg_freight
05feb94f19d094d4b0f9281f0b1d4c99,SP,garden_tools,6727.0,4,4.25,107.38499999999999
05feb94f19d094d4b0f9281f0b1d4c99,SP,housewares,2626.0,2,5.0,133.75
05ff92fedb5be47920fea08e501238b9,RS,cool_stuff,8300.68,28,4.0,25.483
05ff92fedb5be47920fea08e501238b9,RS,health_beauty,4811.56,11,4.636363636363637,41.62090909090909
05ff92fedb5be47920fea08e501238b9,RS,small_appliances,7525.34,17,4.555555555555555,27.896666666666665
062c325cd6a2b87845fab56b4ec2eeae,SP,baby,37.88,1,5.0,8.88
062c325cd6a2b87845fab56b4ec2eeae,SP,stationery,95.34,1,5.0,14.98
062ce95fa2ad4dfaedfc79260130565f,RS,bed_bath_table,742.1999999999999,16,3.8333333333333335,16.573333333333334
062ce95fa2ad4dfaedfc79260130565f,RS,furniture_decor,3019.7000000000003,20,4.260869565217392,21.74304347826087
062ce95fa2ad4dfaedfc79260130565f,RS,health_beauty,319.6,4,4.5,18.16
062ce95fa2ad4dfaedfc79260130565f,RS,market_place,3328.7,13,3.769230769230769,17.955384615384613
062ce95fa2ad4dfaedfc79260130565f,RS,sports_leisure,68.9,1,3.0,79.86
06532f10282704ef4c69168b914b77be,PR,garden_tools,9232.95,6,4.714285714285714,86.14428571428572
06532f10282704ef4c69168b914b77be,PR,home_construction,595.0,1,4.0,29.79
06579cb253ecd5a3a12a9e6eb6bf8f47,SP,agro_industry_and_commerce,186.8,2,4.5,7.71
06579cb253ecd5a3a12a9e6eb6bf8f47,SP,furniture_decor,74.9,1,5.0,215.43
06579cb253ecd5a3a12a9e6eb6bf8f47,SP,housewares,4325.7,58,3.8059701492537314,17.757014925373134
066a6914e1ebf3ea95a216c73a986b91,PR,auto,1887.29,8,3.888888888888889,30.19888888888889
066a6914e1ebf3ea95a216c73a986b91,PR,baby,91.99000000000001,3,4.5,16.3125
066a6914e1ebf3ea95a216c73a986b91,PR,furniture_decor,719.08,11,3.8333333333333335,17.014166666666664
066a6914e1ebf3ea95a216c73a986b91,PR,garden_tools,32.99,1,5.0,14.52
066a6914e1ebf3ea95a216c73a986b91,PR,housewares,39.99,1,5.0,15.56
066a6914e1ebf3ea95a216c73a986b91,PR,market_place,74.9,1,3.0,4.86
066a6914e1ebf3ea95a216c73a986b91,PR,sports_leisure,6110.14,41,3.9545454545454546,24.52340909090909
0691148aee60ca47977c187804f935ae,PR,auto,544.97,6,4.428571428571429,21.72714285714286
0691148aee60ca47977c187804f935ae,PR,fashion_bags_accessories,147.79,1,5.0,15.34
0691148aee60ca47977c187804f935ae,PR,health_beauty,171.8,2,5.0,21.05
0691148aee60ca47977c187804f935ae,PR,sports_leisure,4727.2,35,3.8375,30.28725
0691148aee60ca47977c187804f935ae,PR,stationery,235.28000000000003,2,5.0,23.240000000000002
0691148aee60ca47977c187804f935ae,PR,toys,41.47,1,2.0,23.44
0692610d8abe24f287e9fae90ea0bbee,SP,computers_accessories,130.99,2,4.5,8.465
0692610d8abe24f287e9fae90ea0bbee,SP,furniture_decor,43.0,2,3.5,7.4
06a2c3af7b3aee5d69171b0e14f0ee87,MA,health_beauty,36097.979999999996,389,4.022784810126582,30.028656716417913
06bb3a2fe5e7b7a845b13e8fb91bd944,MG,health_beauty,1536.19,17,4.611111111111111,18.11888888888889
06df0c10d34e459d9672bc77388742eb,PR,sports_leisure,9070.0,26,4.366666666666666,17.525666666666666
06e5eefc71ec47ae763c5c6f8db7064f,RS,computers_accessories,7310.48,33,4.03125,22.235588235294117
06e5eefc71ec47ae763c5c6f8db7064f,RS,construction_tools_safety,8517.58,26,3.923076923076923,27.145384615384614
06e5eefc71ec47ae763c5c6f8db7064f,RS,cool_stuff,3431.4500000000003,19,4.0,18.736842105263158
06e5eefc71ec47ae763c5c6f8db7064f,RS,electronics,1657.66,9,3.3,24.527
06e5eefc71ec47ae763c5c6f8db7064f,RS,musical_instruments,459.49,3,5.0,23.25333333333333
06e5eefc71ec47ae763c5c6f8db7064f,RS,telephony,272.01,1,5.0,18.83
07017df32dc5f2f1d2801e579548d620,PB,telephony,488.5,5,4.166666666666667,21.058333333333334
070d165398b553f3b4b851c216b8a358,SP,pet_shop,3333.17,31,3.5405405405405403,25.472105263157893
